Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
4AD0527LP,The Golden Dregs,On Grace & Dignity,4AD,LP,5,2023,26145992,Box2,11/10/2025 02:16,Mint (M),Mint (M),two copies
4AD0527LP,The Golden Dregs,On Grace & Dignity,4AD,LP,5,2023,26145992,Box2,11/10/2025 02:16,Mint (M),Mint (M),
"K 53051, K53051, 7E 1084, 7E-1084",Eagles,Hotel California,"Asylum Records, Asylum Records, Asylum Records, Asylum Records","LP, Album, Gat",,1976,588440,Uncategorized,13/10/2025 08:22,Mint (M),Near Mint (NM or M-),
BUN094-7,Kaiser Chiefs,Everyday I Love You Less And Less,B-Unique Records,"7"", Single, Ltd, Pic",5,2005,467824,Uncategorized,13/10/2025 09:00,Mint (M),Mint (M),
BUN122-LP,Kaiser Chiefs,"Yours Truly, Angry Mob",B-Unique Records,"2xLP, Album, RE",5,2018,12902998,Box1,10/10/2025 05:33,Mint (M),Mint (M),
"BUN0092-7, BUN092-7",Kaiser Chiefs,Oh My God,"B-Unique Records, B-Unique Records","7"", Single, Ltd, Whi",5,2005,480268,Uncategorized,13/10/2025 08:59,Mint (M),Mint (M),
"7565668, 00602475656685",Kaiser Chiefs,Employment 20 (China Anniversary Edition),"B-Unique Records, Universal Music Recordings, Polydor, B-Unique Records, Universal Music Recordings, Polydor","2xLP, Album, RE, RM, Exp",5,2025,34581952,Box1,01/10/2025 13:32,Mint (M),Mint (M),
"HYSLP 1, 830 675-1",Def Leppard,Hysteria,"Bludgeon Riffola, Phonogram","LP, Album",3,1987,6178715,Uncategorized,16/10/2025 04:18,Very Good Plus (VG+),Near Mint (NM or M-),
"EDUCATE03, EDUCATE04",Kaiser Chiefs,"Education, Education, Education & War","Caroline Records, Caroline Records","LP, Album + 7""",5,2014,5555572,Box1,02/10/2025 17:43,,,
CBS 70296,Various,Top Gun (Original Motion Picture Soundtrack),CBS,"LP, Album",5,1986,17300062,Box2,01/10/2025 13:25,Near Mint (NM or M-),Very Good Plus (VG+),
S 63629,Johnny Cash,Johnny Cash At San Quentin,CBS,"LP, Album, RE",3,1969,4171393,Uncategorized,17/10/2025 07:59,Near Mint (NM or M-),Very Good (VG),
"70246, CBS 70246",Various,Footloose - Original Soundtrack Of The Paramount Motion Picture,"CBS, CBS",LP,4,1984,1657609,Box2,01/10/2025 13:38,Very Good (VG),Near Mint (NM or M-),
"CBS 96000, 96000",Jeff Wayne,Jeff Wayne's Musical Version Of The War Of The Worlds,"CBS, CBS","2xLP, Album, Gat",4,1978,653070,Box2,01/10/2025 13:22,Mint (M),Very Good Plus (VG+),
"S 62171, CS 8853",Johnny Cash,Ring Of Fire - The Best Of Johnny Cash,"CBS, CBS","LP, Comp, RE",1,1969,1418773,Box2,01/10/2025 13:42,Very Good Plus (VG+),Very Good Plus (VG+),
"86304, CBS 86304, QC 38653",Bruce Springsteen,Born In The U.S.A.,"CBS, CBS, CBS","LP, Album, Sun",4,1984,1551256,Uncategorized,13/10/2025 08:26,Mint (M),Very Good Plus (VG+),
"CBS 82311, 82311, S CBS 82311, JC 34987",Billy Joel,The Stranger,"CBS, CBS, CBS, CBS","LP, Album",3,1977,720625,Box2,01/10/2025 13:39,Very Good Plus (VG+),Near Mint (NM or M-),
"88697661581, C 766158",AC/DC,Iron Man 2,"Columbia, Columbia, Marvel, Albert Productions, Sony Music","2xLP, Comp, 180",4,2010,2278079,Box2,10/10/2025 05:39,Mint (M),Mint (M),
"DJLPD 1001, DJLPD.1001",Elton John,Goodbye Yellow Brick Road,"DJM Records (2), DJM Records (2)","2xLP, Album, Tri",5,1973,6339359,Uncategorized,13/10/2025 08:31,Mint (M),Mint (M),
EM002,Queen,Live Aid,Easy Meal,"LP, Unofficial",5,2025,34491832,Box1,01/10/2025 13:29,Good Plus (G+),Mint (M),"skipping fixed
From new side A gets stuck at we are the champions. "
"EMC 3061, 0C 062 ◦ 96 025",Queen,Sheer Heart Attack,"EMI, EMI","LP, Album",4,1974,777747,Uncategorized,17/10/2025 07:49,Near Mint (NM or M-),Near Mint (NM or M-),
"EMTC 103, OC 066-97176",Queen,A Night At The Opera,"EMI, EMI","LP, Album, RP, Emb",5,1975,3293455,Box1,01/10/2025 13:36,Near Mint (NM or M-),Very Good Plus (VG+),
